id,name,description,category,latitude,longitude,rating,price_level,tags,image_url,opening_hours
gateway-india,Gateway of India,Iconic basalt arch offering harbor views and ferry links to Elephanta Caves.,Heritage,18.921984,72.834654,4.7,0,heritage|sunrise|photography,https://placehold.co/600x400?text=Gateway,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
marine-drive,Marine Drive,"3.6 km boulevard facing the Arabian Sea, perfect for sunset walks and night drives.",Waterfront,18.943176,72.823553,4.8,0,sunset|family|night,https://placehold.co/600x400?text=Marine,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
colaba-causeway,Colaba Causeway Market,Bustling street market mixing colonial-era cafes with indie boutiques.,Market,18.92037,72.83298,4.5,1,shopping|souvenirs|streetfood,https://placehold.co/600x400?text=Colaba,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
prince-of-wales-museum,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Premier museum with Indo-Saracenic architecture and curated South Asian art.,Museum,18.926873,72.832653,4.6,2,history|art|culture,https://placehold.co/600x400?text=Museum,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
chor-bazaar,Chor Bazaar,"Historic flea market famed for antiques, film posters, and quirky collectibles.",Market,18.9617,72.8194,4.1,1,antiques|bargain|vintage,https://placehold.co/600x400?text=Chor,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
crawford-market,Crawford Market,Victorian-era fresh produce and gourmet bazaar under stained glass skylights.,Market,18.9492,72.8306,4.3,1,produce|architecture|wholesale,https://placehold.co/600x400?text=Crawford,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
sanjay-gandhi-np,Sanjay Gandhi National Park,"772 sq km protected forest with Kanheri Caves, lion safari and cycling tracks.",Park,19.2147,72.9106,4.6,1,nature|wildlife|cycling,https://placehold.co/600x400?text=SGNP,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
kanheri-caves,Kanheri Caves,Ancient Buddhist basalt caves carved between 1st and 10th century CE.,Heritage,19.2123,72.9087,4.5,1,history|meditation|architecture,https://placehold.co/600x400?text=Kanheri,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
powai-lake,Powai Lake,Picturesque artificial lake flanked by IIT Bombay and lively promenades.,Waterfront,19.1171,72.9045,4.4,0,sunset|birding|jogging,https://placehold.co/600x400?text=Powai,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
bandra-fort,Bandra Fort,Sea-facing Portuguese fort ruins overlooking the Bandra-Worli Sea Link.,Fort,19.0435,72.8204,4.4,0,sunset|photo|couples,https://placehold.co/600x400?text=BandraFort,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
